temp,humidity,label
30.6,33.0,2
30.6,33.0,2
30.9,45.0,2
30.8,43.0,2
30.6,40.0,2
30.4,38.0,2
30.2,36.0,2
30.0,35.0,2
29.9,34.0,2
29.7,33.0,2
29.4,31.0,2
29.1,30.0,2
29.0,30.0,2
28.7,30.0,2
28.4,29.0,2
28.1,27.0,2
27.8,26.0,2
27.5,26.0,2
27.2,25.0,2
27.0,25.0,2
26.7,25.0,2
26.3,24.0,2
26.0,23.0,2
25.8,23.0,2
25.5,22.0,2
25.1,22.0,2
24.9,23.0,2
24.6,22.0,2
24.3,22.0,2
24.0,22.0,2
23.8,22.0,2
23.4,22.0,2
23.1,21.0,2
23.0,21.0,2
22.6,21.0,2
22.3,21.0,2
22.0,21.0,2
21.8,21.0,2
21.5,22.0,2
21.3,28.0,2
21.0,32.0,2
21.0,35.0,2
20.8,36.0,2
20.6,38.0,2
20.4,40.0,2
20.3,40.0,2
20.1,40.0,2
20.0,40.0,2
19.9,41.0,2
19.7,41.0,2
19.5,41.0,2
19.3,40.0,2
19.1,40.0,2
19.0,39.0,2
18.8,39.0,2
18.6,38.0,2
18.4,38.0,2
18.2,37.0,2
18.0,37.0,2
17.9,37.0,2
17.7,36.0,2
-1.6,33.0,0
-1.5,33.0,0
-1.5,33.0,0
-1.4,33.0,0
-1.3,33.0,0
-1.3,33.0,0
-1.2,34.0,0
-1.2,33.0,0
-1.1,33.0,0
-1.1,33.0,0
-3.0,33.0,0
-3.0,34.0,0
-3.0,34.0,0
-3.0,34.0,0
-3.0,34.0,0
-3.0,34.0,0
-2.9,34.0,0
-2.9,34.0,0
-2.8,34.0,0
-2.8,34.0,0
-2.8,34.0,0
-2.7,34.0,0
-2.7,34.0,0
-2.7,34.0,0
-2.6,34.0,0
-2.5,34.0,0
-2.5,34.0,0
-2.5,34.0,0
-2.4,33.0,0
-2.4,34.0,0
-2.4,34.0,0
-2.3,34.0,0
-2.2,34.0,0
-2.2,34.0,0
-2.1,34.0,0
-2.1,34.0,0
-4.0,34.0,0
-4.0,34.0,0
-4.0,34.0,0
-4.0,34.0,0
-3.9,34.0,0
-3.9,34.0,0
-3.8,34.0,0
-3.8,35.0,0
-3.8,35.0,0
-3.7,35.0,0
-3.7,35.0,0
-3.7,35.0,0
-3.7,35.0,0
-3.7,35.0,0
-3.7,35.0,0
-3.6,35.0,0
-3.6,35.0,0
-3.6,35.0,0
-3.6,35.0,0
-3.6,35.0,0
-3.5,35.0,0
-3.5,35.0,0
-3.4,35.0,0
-3.4,35.0,0
-3.4,35.0,0
-3.4,35.0,0
-3.4,35.0,0
-3.4,35.0,0
-3.3,35.0,0
-3.3,35.0,0
-3.2,35.0,0
-3.2,35.0,0
-3.2,35.0,0
-3.2,35.0,0
-3.2,35.0,0
-3.2,35.0,0
-3.1,35.0,0
-3.1,35.0,0
-3.1,35.0,0
-3.1,35.0,0
-3.1,35.0,0
-5.0,35.0,0
-5.0,35.0,0
-5.0,35.0,0
-5.0,35.0,0
-5.0,35.0,0
-5.0,35.0,0
-4.9,35.0,0
-4.9,35.0,0
-4.9,35.0,0
-4.9,35.0,0
-4.9,35.0,0
-4.9,35.0,0
-4.8,35.0,0
-4.8,35.0,0
-4.8,35.0,0
-4.8,35.0,0
-4.8,35.0,0
-4.7,35.0,0
-4.7,35.0,0
-4.7,35.0,0
-4.7,35.0,0
-4.7,35.0,0
-4.6,35.0,0
-4.6,35.0,0
-4.6,35.0,0
-4.5,35.0,0
-4.5,35.0,0
-4.5,35.0,0
-4.5,35.0,0
-4.5,35.0,0
-4.4,35.0,0
-4.3,35.0,0
-4.3,35.0,0
-4.3,35.0,0
-4.3,35.0,0
-4.3,35.0,0
-4.2,35.0,0
-4.2,35.0,0
-4.2,35.0,0
-4.2,35.0,0
-4.2,35.0,0
-4.2,35.0,0
-4.2,35.0,0
-4.2,35.0,0
-4.2,35.0,0
-4.2,35.0,0
-4.1,35.0,0
-4.1,35.0,0
-4.1,35.0,0
-4.1,35.0,0
-4.1,35.0,0
-4.1,35.0,0
-4.1,35.0,0
-4.1,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-6.0,35.0,0
-5.9,35.0,0
-5.9,35.0,0
-5.9,35.0,0
-5.9,35.0,0
-5.9,35.0,0
-5.9,35.0,0
-5.9,35.0,0
-5.9,35.0,0
-5.9,35.0,0
-5.9,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.8,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.7,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.6,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.5,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.3,35.0,0
-5.3,35.0,0
-5.3,35.0,0
-5.3,35.0,0
-5.3,35.0,0
-5.3,35.0,0
-5.3,35.0,0
-5.3,35.0,0
-5.3,35.0,0
-5.3,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.4,35.0,0
-5.5,35.0,0
-5.5,36.0,0
-5.6,36.0,0
-5.6,36.0,0
-5.7,36.0,0
-5.7,37.0,0
-5.8,37.0,0
-5.8,37.0,0
-5.9,37.0,0
-5.9,38.0,0
-6.0,38.0,0
-6.0,38.0,0
-6.0,39.0,0
-4.1,39.0,0
-4.1,39.0,0
-4.2,40.0,0
-4.3,40.0,0
-4.3,40.0,0
-4.4,40.0,0
-4.4,40.0,0
-4.5,40.0,0
-4.6,40.0,0
-4.6,41.0,0
-4.7,41.0,0
-4.7,41.0,0
-4.8,41.0,0
-4.8,42.0,0
-4.9,42.0,0
-5.0,42.0,0
-5.0,43.0,0
-3.1,43.0,0
-3.1,44.0,0
-3.2,44.0,0
-3.2,44.0,0
-3.3,44.0,0
-3.3,45.0,0
-3.4,45.0,0
-3.4,45.0,0
-3.5,45.0,0
-3.5,45.0,0
-3.6,45.0,0
-3.6,45.0,0
-3.7,45.0,0
-3.7,46.0,0
-3.8,46.0,0
-3.8,46.0,0
-3.9,46.0,0
-4.0,46.0,0
-4.0,46.0,0
-4.0,47.0,0
-4.0,47.0,0
-2.1,47.0,0
-2.1,47.0,0
-2.2,48.0,0
-2.2,48.0,0
-2.3,48.0,0
-2.3,48.0,0
-2.3,48.0,0
-2.7,50.0,1
-2.8,50.0,1
-2.8,50.0,1
-2.9,50.0,1
-3.0,51.0,1
-3.0,52.0,1
-1.2,53.0,1
-1.5,55.0,1
-1.9,56.0,1
-0.2,58.0,1
-0.7,59.0,1
0.1,60.0,1
0.8,62.0,1
1.3,64.0,1
2.0,65.0,1
2.4,66.0,1
3.0,69.0,1
3.8,70.0,1
4.6,72.0,1
5.4,72.0,1
6.2,73.0,1
7.0,75.0,1
8.0,77.0,1
8.9,79.0,1
9.8,81.0,1
10.7,80.0,1
15.5,83.0,1
16.0,84.0,1
18.0,90.0,1
18.3,90.0,1
18.5,90.0,1
18.6,90.0,1
18.7,90.0,1
18.7,90.0,1
18.6,90.0,1
18.5,90.0,1
18.4,90.0,1
18.3,90.0,1
18.1,90.0,1
18.0,90.0,1
17.8,89.0,1
17.6,89.0,1
17.4,88.0,1
17.1,87.0,1
17.0,87.0,1
16.8,87.0,1
16.6,87.0,1
16.3,85.0,1
16.1,85.0,1
16.0,84.0,1
15.7,85.0,1
15.5,84.0,1
15.3,84.0,1
15.0,84.0,1
14.9,87.0,1
14.7,87.0,1
14.5,86.0,1
14.3,86.0,1
14.0,85.0,1
14.0,85.0,1
13.7,85.0,1
13.5,85.0,1
13.3,85.0,1
13.1,85.0,1
13.0,84.0,1
12.9,84.0,1
12.7,84.0,1
12.5,83.0,1
12.3,83.0,1
12.1,82.0,1
12.0,82.0,1
11.8,82.0,1
11.7,82.0,1
11.5,81.0,1
11.3,80.0,1
11.1,81.0,1
11.0,80.0,1
10.9,80.0,1
10.8,80.0,1
10.1,78.0,2
10.0,78.0,2
9.9,80.0,2
9.8,80.0,2
9.6,80.0,2
9.5,79.0,2
9.4,79.0,2
9.3,79.0,2
9.2,78.0,2
9.0,78.0,2
9.0,78.0,2
8.9,77.0,2
8.8,77.0,2
8.7,77.0,2
8.6,76.0,2
8.5,76.0,2
8.4,75.0,2
8.3,75.0,2
8.3,76.0,2
8.5,78.0,2
-50.0,0.0,2
-50.0,0.0,2
-50.0,0.0,2
-50.0,0.0,2
0.0,0.0,2
0.0,0.0,2
-3.5,45.0,0
85.0,10.0,2
-3.4,45.2,0
-40.0,100.0,2
-3.5,45.1,0
20.0,0.0,2
-3.5,45.0,0
-3.0,100.0,2
-3.1,100.0,2
-3.0,100.0,2
-3.2,100.0,2
-2.9,-10.0,2
-3.0,-10.0,2
-10.5,45.0,2
-12.0,44.0,2
-15.5,43.0,2
-18.0,40.0,2
-20.0,38.0,2
-22.0,35.0,2
-10.0,90.0,2
-10.5,95.0,2
-11.0,98.0,2
-11.5,99.0,2